,Date,total_entry,total_exit,total_profit,p,lots,p&l,slippage,final_profit,Day,final_equity,output
302,2019-01-17 00:00:00,34.55,4.45,30.1,17.275,10,7525,195,7330,Thu,1023147.299,Win
303,2019-01-22 00:00:00,214.1,199.65,14.45,107.05,9,3251.25,1861.875,1389.375,Tue,1024536.674,Win
304,2019-01-23 00:00:00,141.95,141.5335312,0.416468804,70.975,10,104.117201,1417.417656,-1313.300455,Wed,1023223.373,Loss
305,2019-01-24 00:00:00,55.65,4,51.65,27.825,10,12912.5,298.25,12614.25,Thu,1035837.623,Win
306,2019-01-29 00:00:00,295.9,264.337537,31.56246301,147.95,6,4734.369451,1680.712611,3053.65684,Tue,1038891.28,Win
307,2019-01-30 00:00:00,171.05,212.9997955,-41.94979548,85.525,10,-10487.44887,1920.248977,-12407.69785,Wed,1026483.582,Loss
308,2019-01-31 00:00:00,58.45,75.04468459,-16.59468459,29.225,10,-4148.671147,667.4734229,-4816.14457,Thu,1021667.438,Loss
309,2019-02-05 00:00:00,250.5,222.65,27.85,125.25,7,4873.75,1656.025,3217.725,Tue,1024885.163,Win
310,2019-02-06 00:00:00,192.4,162.5,29.9,96.2,10,7475,1774.5,5700.5,Wed,1030585.663,Win
311,2019-02-07 00:00:00,124.7,1.9,122.8,62.35,10,30700,633,30067,Thu,1060652.663,Win
312,2019-02-12 00:00:00,183.6,166.931968,16.66803202,91.8,10,4167.008006,1752.65984,2414.348166,Tue,1063067.011,Win
313,2019-02-13 00:00:00,141.2,98.1,43.1,70.6,10,10775,1196.5,9578.5,Wed,1072645.511,Win
314,2019-02-14 00:00:00,49.8,5.3,44.5,24.9,10,11125,275.5,10849.5,Thu,1083495.011,Win
315,2019-02-19 00:00:00,229.3,224.9,4.4,114.65,8,880,1816.8,-936.8,Tue,1082558.211,Loss
316,2019-02-20 00:00:00,146.5,117.3,29.2,73.25,10,7300,1319,5981,Wed,1088539.211,Win
317,2019-02-21 00:00:00,56.8,7.5,49.3,28.4,10,12325,321.5,12003.5,Thu,1100542.711,Win
318,2019-02-26 00:00:00,280.25,273.6434278,6.606572221,140.125,7,1156.150139,1938.626997,-782.4768586,Tue,1099760.234,Loss
319,2019-02-27 00:00:00,140.75,121.7225503,19.02744971,70.375,10,4756.862428,1312.362751,3444.499677,Wed,1103204.734,Win
320,2019-02-28 00:00:00,70.4,5.75,64.65,35.2,10,16162.5,380.75,15781.75,Thu,1118986.484,Win
321,2019-03-05 00:00:00,195.25,166.736039,28.51396095,97.625,10,7128.490238,1809.930195,5318.560043,Tue,1124305.044,Win
322,2019-03-06 00:00:00,138.85,94.55,44.3,69.425,10,11075,1167,9908,Wed,1134213.044,Win
323,2019-03-07 00:00:00,34.85,69.36162154,-34.51162154,17.425,10,-8627.905385,521.0581077,-9148.963493,Thu,1125064.08,Loss
324,2019-03-12 00:00:00,179.1,229.7401463,-50.64014631,89.55,10,-12660.03658,2044.200732,-14704.23731,Tue,1110359.843,Loss
325,2019-03-13 00:00:00,188.85,168.573456,20.27654404,94.425,10,5069.136011,1787.11728,3282.018731,Wed,1113641.862,Win
326,2019-03-14 00:00:00,83.65,4.45,79.2,41.825,10,19800,440.5,19359.5,Thu,1133001.362,Win
327,2019-03-19 00:00:00,246.4,238.1466162,8.253383774,123.2,8,1650.676755,1938.186465,-287.50971,Tue,1132713.852,Loss
328,2019-03-20 00:00:00,58.25,34.4,23.85,29.125,10,5962.5,463.25,5499.25,Wed,1138213.102,Win
329,2019-03-26 00:00:00,223.85,218.9407298,4.909270219,111.925,8,981.8540437,1771.162919,-789.3088754,Tue,1137423.793,Loss
330,2019-03-27 00:00:00,230.7,236.7911732,-6.091173226,115.35,8,-1218.234645,1869.964693,-3088.199338,Wed,1134335.594,Loss
331,2019-03-28 00:00:00,90.45,115.4721535,-25.02215351,45.225,10,-6255.538377,1029.610768,-7285.149144,Thu,1127050.445,Loss
332,2019-04-02 00:00:00,390.95,345.4,45.55,195.475,5,5693.75,1840.875,3852.875,Tue,1130903.32,Win
333,2019-04-03 00:00:00,266.25,229.0005138,37.24948625,133.125,7,6518.660093,1733.376798,4785.283295,Wed,1135688.603,Win
334,2019-04-04 00:00:00,162.25,138.2751382,23.97486182,81.125,10,5993.715456,1502.625691,4491.089765,Thu,1140179.693,Win
335,2019-04-09 00:00:00,291.7,299.6687527,-7.968752682,145.85,6,-1195.312902,1774.106258,-2969.41916,Tue,1137210.274,Loss
336,2019-04-10 00:00:00,244.9,221.0053075,23.89469252,122.45,8,4778.938504,1863.62123,2915.317274,Wed,1140125.591,Win
337,2019-04-11 00:00:00,84.65,4.3,80.35,42.325,10,20087.5,444.75,19642.75,Thu,1159768.341,Win
338,2019-04-16 00:00:00,188.25,185.7826649,2.467335076,94.125,10,616.833769,1870.163325,-1253.329556,Tue,1158515.011,Loss
339,2019-04-18 00:00:00,70.4,2.1,68.3,35.2,10,17075,362.5,16712.5,Thu,1175227.511,Win
340,2019-04-23 00:00:00,288.95,253.1275752,35.8224248,144.475,6,5373.36372,1626.232726,3747.130995,Tue,1178974.642,Win
341,2019-04-24 00:00:00,200.65,213.6152369,-12.96523685,100.325,9,-2917.178292,1864.193566,-4781.371858,Wed,1174193.271,Loss
342,2019-04-25 00:00:00,88.45,38.1,50.35,44.225,10,12587.5,632.75,11954.75,Thu,1186148.021,Win
343,2019-04-30 00:00:00,271.3,218.3,53,135.65,7,9275,1713.6,7561.4,Tue,1193709.421,Win
344,2019-05-14 00:00:00,347.1,345.0355535,2.064446542,173.55,5,258.0558178,1730.338884,-1472.283066,Tue,1192237.137,Loss
345,2019-05-15 00:00:00,231.3,194.1917358,37.10826424,115.65,8,7421.652848,1701.966943,5719.685905,Wed,1197956.823,Win
346,2019-05-16 00:00:00,106.2,111.7128362,-5.512836232,53.1,10,-1378.209058,1089.564181,-2467.773239,Thu,1195489.05,Loss
347,2019-05-21 00:00:00,1151.9,1013.615988,138.2840118,575.95,2,6914.20059,2165.515988,4748.684602,Tue,1200237.735,Win
348,2019-05-22 00:00:00,1279.45,1222.45,57,639.725,2,2850,2501.9,348.1,Wed,1200585.835,Win
349,2019-05-23 00:00:00,380.1,231.8774809,148.2225191,190.05,5,18527.81488,1529.943702,16997.87118,Thu,1217583.706,Win
350,2019-06-04 00:00:00,294.75,218.9,75.85,147.375,6,11377.5,1540.95,9836.55,Tue,1227420.256,Win
351,2019-06-06 00:00:00,150.15,177.1771259,-27.02712588,75.075,10,-6756.781471,1636.635629,-8393.4171,Thu,1219026.839,Loss
352,2019-06-11 00:00:00,301.85,287.3,14.55,150.925,6,2182.5,1767.45,415.05,Tue,1219441.889,Win
